batsman,total_runs,total_balls,fours,sixes,strike_rate,match_captain,wicket_type,dismissed_by,season,venue,team_name,opponent_team
Babar Azam,85,63,5,4,134.92,0,not out,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Multan Sultans
Babar Azam,81,54,7,3,150.0,0,catch,Hasan Ali,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Islamabad United
Babar Azam,0,1,0,0,0.0,0,lbw,Wahab Riaz,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Peshawar Zalmi
Babar Azam,54,44,7,0,122.72,0,catch,Rashid Khan,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Lahore Qalandars
Babar Azam,23,25,3,0,92.0,0,catch,Abdul Nasir,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Quetta Gladiators
Babar Azam,53,45,6,0,117.77,0,catch,Wahab Riaz,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Peshawar Zalmi
Sam Billings,2,4,0,0,50.0,0,bowled,Mohammad Nawaz,2016,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
Sam Billings,26,20,1,1,130.0,0,catch,Wahab Riaz,2016,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Sam Billings,4,2,1,0,200.0,0,run out,run out,2016,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
Sam Billings,47,23,5,3,204.34,0,not out,not out,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
Sam Billings,33,23,5,0,143.47,0,catch,Curran,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
Sam Billings,2,5,0,0,40.0,0,catch,Naveen-ul-Haq,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Quetta Gladiators
Sam Billings,54,35,6,2,154.28,0,lbw,Pollard,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Sam Billings,0,1,0,0,0.0,0,catch,Wahab Riaz,2023,Rawalpindi Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Sam Billings,32,22,2,2,145.45,0,catch,Fazalhaq Farooqi,2023,Rawalpindi Cricket Stadium,Lahore Qalandars,Islamabad United
Sam Billings,11,13,0,0,84.61,0,catch,Fuller,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings
Sam Billings,19,27,1,0,70.37,0,catch,Ihsanullah,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Sam Billings,28,21,3,0,133.33,0,bowled,Salman Irshad,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
Sam Billings,9,8,0,1,112.5,0,bowled,Usama Mir,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Misbah-ul-Haq,41,28,4,1,146.42,1,catch,Anwar Ali,2016,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
Misbah-ul-Haq,12,12,2,0,100.0,1,catch,Mohammad Asghar,2016,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Misbah-ul-Haq,4,6,0,0,66.66,1,catch,Bopara,2016,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
Misbah-ul-Haq,32,27,3,2,118.51,1,catch,Wahab Riaz,2016,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi
Misbah-ul-Haq,38,38,5,0,100.0,1,catch,Bopara,2016,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
Misbah-ul-Haq,38,19,7,0,200.0,1,not out,not out,2016,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars
Misbah-ul-Haq,1,1,0,0,100.0,1,not out,not out,2016,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
Misbah-ul-Haq,61,36,3,5,169.44,1,not out,not out,2017,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars
Misbah-ul-Haq,10,11,2,0,90.9,1,lbw,Hassan Khan,2017,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators
Misbah-ul-Haq,16,25,0,1,64.0,1,catch,Usama Mir,2017,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
